Transaction_ID,Transaction_Date,Transaction_Date_Only,Transaction_Year,Transaction_Month_Number,Transaction_Month_Name,Transaction_Year_Month,Transaction_Amount,Flagged_Fraud_Amount,Fraudulent,Fraud_Probability,Risk_Score,Risk_Score_Band,Prediction_Label,Fraud_Prediction,Fraud_Status,Risk_Level,High_Risk_Flag,Primary_Risk_Reason,Risk_Reasons,Recommended_Action,Merchant_Category,Payment_Method,Device_Type,Location,Transaction_Type,Time_Risk,Keyword_Risk,Is_International,Is_Night,Suspicious_Keyword,High_Amount_Deviation,International_Night,International_Keyword,Behavioral_Risk_Count,Amount_vs_Average_Spend,Transactions_per_Account_Age
T100000,2023-10-04 07:45:00,2023-10-04,2023,10,October,2023-10,37.54,0.0,0,0.076608,7.66,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Travel,PayPal,POS,Bengaluru,Domestic,Day,Normal,0,0,No,0,0,0,0,0.089938,0.063003
T100001,2023-09-26 08:29:00,2023-09-26,2023,9,September,2023-09,240.81,0.0,0,0.074782,7.48,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Utilities,PayPal,Mobile,Bengaluru,Domestic,Day,Normal,0,0,No,0,0,0,0,0.717829,1.151515
T100002,2023-07-18 15:54:00,2023-07-18,2023,7,July,2023-07,105.34,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Entertainment,Debit Card,Mobile,Bengaluru,Domestic,Day,Normal,0,0,No,0,0,0,0,0.243826,0.277778
T100003,2023-10-16 17:10:00,2023-10-16,2023,10,October,2023-10,73.04,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Utilities,NetBanking,Desktop,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.14958,0.151448
T100004,2023-09-09 00:46:00,2023-09-09,2023,9,September,2023-09,13.57,0.0,0,0.682275,68.23,Medium Risk,Legitimate,0,Predicted Legitimate,Medium,0,Night-time transaction,Night-time transaction,Monitor,Utilities,Credit Card,Desktop,Bengaluru,Domestic,Night,Normal,0,1,No,0,0,0,1,0.03105,0.075597
T100005,2024-01-14 03:15:00,2024-01-14,2024,1,January,2024-01,13.57,0.0,0,0.689285,68.93,Medium Risk,Legitimate,0,Predicted Legitimate,Medium,0,Night-time transaction,Night-time transaction,Monitor,Travel,Credit Card,Mobile,Mumbai,Domestic,Night,Normal,0,1,No,0,0,0,1,0.065303,0.0423
T100006,2023-02-09 08:56:00,2023-02-09,2023,2,February,2023-02,4.79,0.0,0,0.076608,7.66,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Health,NetBanking,Desktop,Bengaluru,Domestic,Day,Normal,0,0,No,0,0,0,0,0.011708,0.156492
T100007,2023-03-26 13:12:00,2023-03-26,2023,3,March,2023-03,160.9,0.0,0,0.072677,7.27,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Fashion,Debit Card,Mobile,Delhi,Domestic,Day,Normal,0,0,No,0,0,0,0,0.448552,0.37037
T100008,2023-03-06 20:09:00,2023-03-06,2023,3,March,2023-03,73.53,0.0,0,0.073653,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Travel,Debit Card,POS,Chennai,Domestic,Day,Normal,0,0,No,0,0,0,0,1.82956,0.174
T100009,2023-06-27 12:06:00,2023-06-27,2023,6,June,2023-06,98.5,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Grocery,Debit Card,Desktop,Mumbai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.211564,0.16092
T100010,2023-02-09 22:45:00,2023-02-09,2023,2,February,2023-02,1.66,0.0,0,0.073653,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Travel,Credit Card,Desktop,Pune,Domestic,Day,Normal,0,0,No,0,0,0,0,0.006965,0.093876
T100011,2023-07-25 18:45:00,2023-07-25,2023,7,July,2023-07,280.28,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,High transaction amount deviation,Transaction amount significantly above average,Normal,Grocery,PayPal,Desktop,Bengaluru,Domestic,Day,Normal,0,0,No,1,0,0,0,3.693727,0.117029
T100012,2023-01-02 04:32:00,2023-01-02,2023,1,January,2023-01,142.91,142.91,0,0.709082,70.91,High Risk,Fraud,1,Predicted Fraud,High,1,Night-time transaction,Night-time transaction,Immediate Review,Utilities,Debit Card,POS,Pune,Domestic,Night,Normal,0,1,No,0,0,0,1,0.65423,0.143027
T100013,2023-04-20 21:27:00,2023-04-20,2023,4,April,2023-04,19.1,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Entertainment,Credit Card,POS,Chennai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.062512,0.398329
T100014,2023-07-24 10:27:00,2023-07-24,2023,7,July,2023-07,16.05,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Travel,Credit Card,Desktop,Mumbai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.055204,0.067063
T100015,2023-08-14 12:04:00,2023-08-14,2023,8,August,2023-08,16.21,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Grocery,PayPal,Mobile,Chennai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.05558,0.113952
T100016,2024-01-20 05:58:00,2024-01-20,2024,1,January,2024-01,29.02,0.0,0,0.687022,68.7,Medium Risk,Legitimate,0,Predicted Legitimate,Medium,0,Night-time transaction,Night-time transaction,Monitor,Travel,NetBanking,POS,Pune,Domestic,Night,Normal,0,1,No,0,0,0,1,0.214391,0.036474
