Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent,Transaction_Hour,Transaction_Day,Transaction_Month,Day_of_Week,Is_Weekend,Amount_vs_Average_Spend,Transactions_per_Account_Age
T100000,CUST3252,2023-10-04 07:45:00,37.54,Travel,PayPal,POS,Bengaluru,0,94,417.4,1492,No,0,7,4,10,Wednesday,0,0.08993770963104936,0.06300268096514745
T100001,CUST1630,2023-09-26 08:29:00,240.81,Utilities,PayPal,Mobile,Bengaluru,0,76,335.47,66,No,0,8,26,9,Tuesday,0,0.7178287179181446,1.1515151515151516
T100002,CUST7852,2023-07-18 15:54:00,105.34,Entertainment,Debit Card,Mobile,Bengaluru,0,60,432.03,216,No,0,15,18,7,Tuesday,0,0.2438256602550749,0.2777777777777778
T100003,CUST4892,2023-10-16 17:10:00,73.04,Utilities,NetBanking,Desktop,Kolkata,0,68,488.3,449,No,0,17,16,10,Monday,0,0.14958017612123695,0.1514476614699332
T100004,CUST8831,2023-09-09 00:46:00,13.57,Utilities,Credit Card,Desktop,Bengaluru,0,57,437.03,754,No,0,0,9,9,Saturday,1,0.031050499965677415,0.07559681697612732
T100005,CUST2962,2024-01-14 03:15:00,13.57,Travel,Credit Card,Mobile,Mumbai,0,64,207.8,1513,No,0,3,14,1,Sunday,1,0.06530317613089509,0.04230006609385327
T100006,CUST2118,2023-02-09 08:56:00,4.79,Health,NetBanking,Desktop,Bengaluru,0,182,409.11,1163,No,0,8,9,2,Thursday,0,0.011708342499572241,0.15649183147033535
T100007,CUST4852,2023-03-26 13:12:00,160.9,Fashion,Debit Card,Mobile,Delhi,0,80,358.71,216,No,0,13,26,3,Sunday,1,0.44855175489950105,0.37037037037037035
T100008,CUST7160,2023-03-06 20:09:00,73.53,Travel,Debit Card,POS,Chennai,0,87,40.19,500,No,0,20,6,3,Monday,0,1.8295595919382932,0.174
T100009,CUST2337,2023-06-27 12:06:00,98.5,Grocery,Debit Card,Desktop,Mumbai,0,182,465.58,1131,No,0,12,27,6,Tuesday,0,0.21156407062159027,0.16091954022988506
T100010,CUST9322,2023-02-09 22:45:00,1.66,Travel,Credit Card,Desktop,Pune,0,187,238.32,1992,No,0,22,9,2,Thursday,0,0.0069654246391406514,0.09387550200803213
T100011,CUST8675,2023-07-25 18:45:00,280.28,Grocery,PayPal,Desktop,Bengaluru,0,167,75.88,1427,No,0,18,25,7,Tuesday,0,3.6937269372693726,0.11702873160476523
T100012,CUST3603,2023-01-02 04:32:00,142.91,Utilities,Debit Card,POS,Pune,0,120,218.44,839,No,0,4,2,1,Monday,0,0.6542299945065007,0.1430274135876043
T100013,CUST4855,2023-04-20 21:27:00,19.1,Entertainment,Credit Card,POS,Chennai,0,143,305.54,359,No,0,21,20,4,Thursday,0,0.06251227335209793,0.3983286908077994
T100014,CUST1114,2023-07-24 10:27:00,16.05,Travel,Credit Card,Desktop,Mumbai,0,79,290.74,1178,No,0,10,24,7,Monday,0,0.055203962303088674,0.06706281833616298
T100015,CUST5555,2023-08-14 12:04:00,16.21,Grocery,PayPal,Mobile,Chennai,0,156,291.65,1369,No,0,12,14,8,Monday,0,0.05558031887536431,0.1139517896274653
T100016,CUST7395,2024-01-20 05:58:00,29.02,Travel,NetBanking,POS,Pune,0,36,135.36,987,No,0,5,20,1,Saturday,1,0.2143912529550827,0.0364741641337386
T100017,CUST5632,2023-07-01 12:06:00,59.51,Entertainment,NetBanking,Desktop,Kolkata,0,54,320.02,349,No,0,12,1,7,Saturday,1,0.18595712767952002,0.15472779369627507
T100018,CUST7496,2023-07-30 09:36:00,45.24,Utilities,Debit Card,Desktop,Mumbai,0,145,454.63,504,No,0,9,30,7,Sunday,1,0.09950949123463036,0.2876984126984127
T100019,CUST2634,2023-12-06 15:34:00,27.54,Travel,Debit Card,POS,Hyderabad,1,100,200.45,1542,No,0,15,6,12,Wednesday,0,0.13739087054128213,0.0648508430609598
T100020,CUST2854,2023-08-25 19:33:00,75.71,Food,PayPal,Mobile,Kolkata,0,86,318.98,855,No,0,19,25,8,Friday,0,0.23735030409430055,0.10058479532163743
T100021,CUST6465,2023-01-03 07:09:00,12.02,Grocery,Debit Card,Desktop,Mumbai,0,22,129.55,543,No,0,7,3,1,Tuesday,0,0.09278270937861828,0.040515653775322284
