Transaction_Hour,Transaction_Count,Fraud_Count,Average_Amount,Fraud_Rate
0,188,57,71.80143617021277,30.319148936170215
5,236,64,73.5149152542373,27.11864406779661
3,200,54,82.368,27.0
4,178,46,82.1614606741573,25.842696629213485
1,204,48,76.185,23.52941176470588
2,216,44,81.59402777777778,20.37037037037037
6,225,17,76.39528888888889,7.555555555555555
13,233,13,80.29025751072962,5.579399141630901
12,211,11,79.53687203791469,5.213270142180095
21,212,11,83.33853773584906,5.188679245283019
19,198,10,77.83681818181819,5.05050505050505
16,199,10,81.93050251256281,5.025125628140704
9,220,11,76.07763636363636,5.0
11,205,10,84.56151219512195,4.878048780487805
8,209,10,81.97985645933015,4.784688995215311
23,220,10,76.63881818181818,4.545454545454546
22,219,9,77.47305936073059,4.10958904109589
15,196,8,76.50372448979591,4.081632653061225
18,212,8,84.41278301886791,3.7735849056603774
14,206,7,71.07145631067961,3.3980582524271843
7,208,7,80.12451923076924,3.3653846153846154
20,184,6,80.39663043478261,3.260869565217391
10,202,6,82.6849504950495,2.9702970297029703
17,219,5,82.20520547945205,2.28310502283105
