Merchant_Category,Is_International,Transaction_Count,Fraud_Count,Average_Amount,Fraud_Rate
Fashion,1,49,22,89.93020408163265,44.89795918367347
Entertainment,1,65,27,75.62599999999999,41.53846153846154
Utilities,1,45,18,65.296,40.0
Food,1,58,21,68.07224137931034,36.206896551724135
Health,1,58,21,84.02258620689656,36.206896551724135
Travel,1,59,21,90.38491525423728,35.59322033898305
Electronics,1,53,18,87.50716981132075,33.9622641509434
Grocery,1,54,15,61.99851851851852,27.77777777777778
Food,0,626,53,78.0367571884984,8.466453674121405
Entertainment,0,565,45,79.76499115044248,7.964601769911504
Grocery,0,575,43,83.22427826086957,7.478260869565218
Health,0,548,40,81.74961678832116,7.2992700729927
Fashion,0,559,40,77.0302504472272,7.155635062611807
Travel,0,540,35,77.02172222222222,6.481481481481481
Utilities,0,549,32,80.22023679417123,5.828779599271402
Electronics,0,597,31,77.45257956448911,5.192629815745393
