,count,mean,std,min,25%,50%,75%,max
Transaction_Amount,5000.0,79.180664,78.96404465824216,0.0,22.365,55.455,110.2975,653.8
Previous_Transactions,5000.0,99.414,57.022968423132426,1.0,50.0,100.0,148.0,199.0
Average_Spend,5000.0,258.37713199999996,140.23063932213788,10.01,138.7725,261.81,378.525,499.99
Account_Age_Days,5000.0,1011.1582,568.6338337279378,30.0,530.0,1012.5,1496.0,1999.0
Transaction_Hour,5000.0,11.5482,6.891413140642128,0.0,6.0,12.0,17.0,23.0
Transaction_Day,5000.0,15.392,8.78756964558775,1.0,8.0,15.0,23.0,31.0
Transaction_Month,5000.0,5.9524,3.643458411707147,1.0,2.0,6.0,9.0,12.0
Is_International,5000.0,0.0882,0.2836139054585897,0.0,0.0,0.0,0.0,1.0
Is_Weekend,5000.0,0.2818,0.44992137740850874,0.0,0.0,0.0,1.0,1.0
Amount_vs_Average_Spend,5000.0,0.5889361734,1.2858423090022653,0.0,0.09133725000000001,0.241066,0.576681,28.363287
Transactions_per_Account_Age,5000.0,0.211570851,0.41851595924480645,0.000509,0.05036825,0.0988705,0.1939325,6.09375
Fraudulent,5000.0,0.0964,0.2951685364211074,0.0,0.0,0.0,0.0,1.0
