Threshold,Precision,Recall,F1,True_Negatives,False_Positives,False_Negatives,True_Positives
0.05,0.108,1.0,0.19494584837545126,0,892,0,108
0.06,0.108,1.0,0.19494584837545126,0,892,0,108
0.07,0.108,1.0,0.19494584837545126,0,892,0,108
0.08,0.2727272727272727,1.0,0.42857142857142855,604,288,0,108
0.09,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.1,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.11,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.12,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.13,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.14,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.15,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.16,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.17,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.18,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.19,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.2,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.21,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.22,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.23,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.24,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.25,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.26,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.27,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.28,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.29,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.3,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.31,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.32,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.33,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.34,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.35,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.36,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.37,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.38,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.39,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.4,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.41,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.42,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.43,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.44,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.45,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.46,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.47,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.48,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.49,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.5,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.51,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.52,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.53,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.54,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.55,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.56,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.57,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.58,0.30422535211267604,1.0,0.46652267818574517,645,247,0,108
0.59,0.3050847457627119,1.0,0.4675324675324675,646,246,0,108
0.6,0.3050847457627119,1.0,0.4675324675324675,646,246,0,108
0.61,0.3059490084985836,1.0,0.4685466377440347,647,245,0,108
0.62,0.3059490084985836,1.0,0.4685466377440347,647,245,0,108
0.63,0.3059490084985836,1.0,0.4685466377440347,647,245,0,108
0.64,0.3068181818181818,1.0,0.46956521739130436,648,244,0,108
0.65,0.30945558739255014,1.0,0.4726477024070022,651,241,0,108
0.66,0.3119533527696793,0.9907407407407407,0.4745011086474501,656,236,1,107
0.67,0.31736526946107785,0.9814814814814815,0.4796380090497738,664,228,2,106
0.68,0.33881578947368424,0.9537037037037037,0.5,691,201,5,103
0.69,0.35185185185185186,0.8796296296296297,0.5026455026455027,717,175,13,95
0.7,0.3804878048780488,0.7222222222222222,0.4984025559105431,765,127,30,78
0.71,0.4028776978417266,0.5185185185185185,0.4534412955465587,809,83,52,56
