Threshold,Precision,Recall,F1,True_Negatives,False_Positives,False_Negatives,True_Positives
0.1,0.3101449275362319,0.9907407407407407,0.47240618101545256,654,238,1,107
0.12,0.32098765432098764,0.9629629629629629,0.48148148148148145,672,220,4,104
0.14,0.33222591362126247,0.9259259259259259,0.4889975550122249,691,201,8,100
0.16,0.3357664233576642,0.8518518518518519,0.4816753926701571,710,182,16,92
0.18,0.3574468085106383,0.7777777777777778,0.4897959183673469,741,151,24,84
0.2,0.38308457711442784,0.7129629629629629,0.49838187702265374,768,124,31,77
0.22,0.38323353293413176,0.5925925925925926,0.46545454545454545,789,103,44,64
0.24,0.3888888888888889,0.5185185185185185,0.4444444444444444,804,88,52,56
0.26,0.41935483870967744,0.48148148148148145,0.4482758620689655,820,72,56,52
0.28,0.43859649122807015,0.46296296296296297,0.45045045045045046,828,64,58,50
0.3,0.42452830188679247,0.4166666666666667,0.4205607476635514,831,61,63,45
0.32,0.44680851063829785,0.3888888888888889,0.4158415841584158,840,52,66,42
0.34,0.46511627906976744,0.37037037037037035,0.41237113402061853,846,46,68,40
0.36,0.4722222222222222,0.3148148148148148,0.37777777777777777,854,38,74,34
0.38,0.46153846153846156,0.2777777777777778,0.3468208092485549,857,35,78,30
0.4,0.45614035087719296,0.24074074074074073,0.3151515151515151,861,31,82,26
0.42,0.46153846153846156,0.2222222222222222,0.3,864,28,84,24
0.44,0.44680851063829785,0.19444444444444445,0.2709677419354839,866,26,87,21
0.46,0.4883720930232558,0.19444444444444445,0.2781456953642384,870,22,87,21
0.48,0.5128205128205128,0.18518518518518517,0.272108843537415,873,19,88,20
0.5,0.5294117647058824,0.16666666666666666,0.2535211267605634,876,16,90,18
0.52,0.5161290322580645,0.14814814814814814,0.2302158273381295,877,15,92,16
0.54,0.5714285714285714,0.14814814814814814,0.23529411764705882,880,12,92,16
0.56,0.6521739130434783,0.1388888888888889,0.22900763358778625,884,8,93,15
0.58,0.6363636363636364,0.12962962962962962,0.2153846153846154,884,8,94,14
0.6,0.65,0.12037037037037036,0.203125,885,7,95,13
0.62,0.5882352941176471,0.09259259259259259,0.16,885,7,98,10
0.64,0.5333333333333333,0.07407407407407407,0.13008130081300814,885,7,100,8
0.66,0.6363636363636364,0.06481481481481481,0.11764705882352941,888,4,101,7
0.68,0.6666666666666666,0.05555555555555555,0.10256410256410256,889,3,102,6
0.7,0.8,0.037037037037037035,0.07079646017699115,891,1,104,4
0.72,0.75,0.027777777777777776,0.05357142857142857,891,1,105,3
0.74,0.75,0.027777777777777776,0.05357142857142857,891,1,105,3
0.76,0.5,0.009259259259259259,0.01818181818181818,891,1,107,1
0.78,0.5,0.009259259259259259,0.01818181818181818,891,1,107,1
0.8,0.5,0.009259259259259259,0.01818181818181818,891,1,107,1
0.82,0.5,0.009259259259259259,0.01818181818181818,891,1,107,1
0.84,0.5,0.009259259259259259,0.01818181818181818,891,1,107,1
0.86,0.5,0.009259259259259259,0.01818181818181818,891,1,107,1
0.88,0.5,0.009259259259259259,0.01818181818181818,891,1,107,1
0.9,0.0,0.0,0.0,891,1,108,0
